식물구분번호,식물분류명,한글식물명,식물학명,식물학명분류,국문식물상세설명,국외식물분포지역,이용가능부위,국문식물효능설명,국문식물복용방법설명
1,양치식물,부처손과,부처손과(Selaginellaceae),Selaginella involvens (SW.) Spring,"바위나 나무 간에 붙어서 다년생으로 자라며 길이는 20cm정도 자라고 가지가 달린 줄기가 뿌리처럼 땅속으로 들어가 줄기처럼 서서 자란다. 잎은 4줄로 배열하고 서양이며 잎 끝이 가지가 되고 잔톱니가 많이 늘어서 있다. 잎집주머니는 이삭의 단경에 달려 1개씩 달린다.","한국(전국), 중국, 일본, 동아시아, 대만, 인도, 자바, 필리핀",전초(전초),"건출에 의한 억균작용이나 채취하여 말려서 복용, 지혈 작용.","소량, 산후어혈, 지혈, 타박상, 탈항, 종기, 무월경, 폐경, 피오줌, 피똥, 피토, 활혈, (내복): 달이거나, 환제 또는 가루약(산제)으로 만들어 복용한다. (외용): 짓찧어 붙이거나 신선한 생즙을 내어 상처 부위에 바른다."
2,양치식물,속새과,속새과(Equisetaceae),Equisetum arvense L.,"습지나 냇가 주변 밭둑에 자라는 다년생 초본으로 줄기는 마디가 있고 직립하며 높이 30~40cm이고 마디가 많이 있다. 마디 마다 잎잎줄기가 억세고 마디에 긴 엽집이 3~4개의 억세게 있다. 포자주머니 이삭은 뱀머리 모양이고 겉부분에 포자엽에 의해 둘러싸여 있으며 마디에 7개 정도의 포자주머니가 달린다. 봄에 영양줄기보다 줄기가 먼저 나와 성숙하고 나중에 자란다.","한국(전국), 북반구 온대 전지역",전초(전초),봄철에 5~7월 채취하여 그늘에서 말린다.,"해열, 이뇨, 통경작용, 안질환, 다뇨, 결석, 방광염, 피오줌, 토혈, 치질, 치통, 칠창, 탈항, 출혈성질환, 대하증, 폐결핵, 타혈, 해수, 지혈, 활혈, (내복): 달이거나 환(丸)으로 만들어 복용한다. (외용): 달인 물로 상처 부위를 씻는다."
3,양치식물,속새과,속새과(Equisetaceae),Equisetum hyemale L.,"습지나 산골짜기 냇가에 자라는 상록 다년초로 높이 30~60cm이며 줄기가 모여나서 마디처럼 보이고 마디와 마디 사이에 10~18개의 억세가 있다. 관화는 마디 마다 밑부분이 서로 합쳐져서 나팔 모양이 되며 속은 비어 있고 마디 마다 억세가 돌려 달린다. 포자주머니는 포자줄기 끝에 달리고 뾰족하며 황갈색이다. 속새는 생약명으로 줄기가 단단하고 외부에 관화가 줄기 마다 달려 있다.","한국(전국), 북반구 온대 전지역",전초(전초),여름철에 지상부를 잘라 채취하여 그늘에서 말린다.,"풍열이안, 이뇨, 지혈작용, 소풍청열, 이뇨, 유목, 장풍하혈, 자궁출혈, 수염, 피오줌, 토혈, 치통, 치질, 탈항, 대하증, 해열, 지혈, (내복): 달이거나 환제 또는 가루약으로 만들어서 복용한다. (외용): 달인 물로 상처 부위를 씻는다. 단 임산부나 몸이 차가운 사람은 복용에 주의한다."
4,양치식물,고사리삼과,고사리삼과(Ophioglossaceae),Sceptridium ternatum (Thunb.) Lyon,"습지나 산 산지 주변 풀밭에 자라는 다년생 초본으로 두껍고 길게 뿌리가 발달하여 자란다. 잎은 2개로 갈라져 영양엽과 영양(포자)엽으로 되며 영양(영양)은 자루가 길고 3회 羽狀으로 갈라지며 잔톱니를 포함하고 있다. 포자엽은 영양엽 자루 밑부분에서 나와 긴 자루가 생기고 포자주머니가 달린다. 이 고사리삼은 여름에 포자엽 이삭이 달리고 겨울에 줄기가 시들어 없어짐.","한국(전국), 중국, 일본, 히말라야",영양엽(영양엽),여름철에 채취하여 햇볕에 말린다.,"폐 보호, 해수천식, 이뇨, 지혈, 무월경, 청열, 해독, 해수, 해열, 소종지통, (내복): 달여서 복용한다. (외용): 짓찧어 상처 부위에 바른다."
5,양치식물,고비과,고비과(Osmundaceae),Osmunda japonica Thunb.,"산지의 습한 골짜기 및 하천변에 자라는 다년초로 높이 60~100cm이고 영양 줄기 밑부분에서 긴 잎자루가 나온다. 잎은 2회 우상복엽이고 깃꼴 길이는 20~30cm이다. 봄철에 영양잎보다 먼저 포자잎이 나와 붉은 갈색으로 변해 매우 정교하게 깃꼴로 갈라지며 포자주머니가 달리게 된다. 이 고비는, 고사리보다 줄기가 굵고 깃꼴이 2회 우상복엽이다.","한국(중부이남), 중국, 일본, 대만, 사할린, 히말라야","자경(관중),근경(관중), 엽경(관중)",뿌리줄기와 잎자루 잔기를 가을에 채취하여 잔뿌리와 줄기를 제거한다.,"지혈, 해열, 기생충, 구충, 감기몸살, 이뇨, 타박상, 징가현벽, 토혈, 뇨혈, 코피, 수렴자강, 항균, 청열해독, 구충, 이뇨, 보간신, 해열, 활혈, 진통, (내복): 달이거나 환제(丸劑)로 만들어 복용한다."
6,양치식물,고사리과,면마과(Dryopteridaceae),Dryopteris crassirhizoma Nakai,"산지 그늘에 자라는 다년초로 길이가 100cm 정도 자라며 뿌리줄기가 굵고 잎이 모여 난다. 잎은 도피침형으로 2회 우상으로 갈라지며 잎자루에 비늘 조각이 마디처럼 달려있다. 포자주머니는 잎갈래 조각 뒷면에 달리고 영양 잎자루에 2줄로 달린다. 이 관중고사리는 잎이 크고 관 모양으로 모여 나는 대형 고사리류이다.","한국(전국), 중국, 일본, 러시아",관중(관중),뿌리줄기를 가을이나 봄에 채취하여 햇볕에 말린다.,"구충, 코피, 지혈, 해열, 수렴작용, 이뇨, 자궁출혈, 자궁지혈, 자궁강화, 수염, 피오줌, 토혈, 청열해독, 자궁지혈, 해열, 획충, 회충구충, (내복): 달이거나 환제 또는 가루약으로 만들어 복용한다. 단 임산부나 몸이 차가운 사람은 복용에 주의한다."
7,양치식물,고사리과,잔고사리과(Dennstaedtiaceae),Pteridium aquilinum var. latiusculum (Desv.) Underw. ex Hell.,"습지나 산지의 양지바른 곳에 자라는 다년초로 길이가 1m에 이르며 긴 뿌리줄기가 옆으로 뻗으면서 줄기가 나온다. 잎은 넓은 삼각형으로 3회 우상으로 갈라지며 딱딱하다. 엽편은 삼각형이고 잎자루 뒷면 가장자리 쪽으로 포자주머니가 줄지어 달린다. 이 고사리는 포자고사리라 불리며 잎자루를 말려 식용으로 활용한다.","한국(전국), 중국, 일본, 러시아",근경(근경),뿌리줄기를 가을이나 겨울에 채취하여 햇볕에 말린다.,"해열, 이뇨, 소종, 황달, 타박상, 열독, 종기, 음위, 해독, 해열, 이뇨, 보양강장, 진통, 청열, 치통, 탈항, 출혈, 대변, 대하증, 해수, 화상, 황달, 해독작용, (내복): 달이거나 환제로 만들어 복용한다."
368,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Perilla frutescens var. acuta Kudo,"재배하는 한해살이풀로 높이 60~90cm이며 전초가 자주색을 띠고 향기가 강하다.","한국(전국), 중국",자소엽(차조기),잎과 어린줄기를 여름에 채취하여 그늘에서 말린다.,"해표산한, 행기화위, 감기소화불량, 어독해독(게/생선 중독), 임신부토","(내복): 달이거나 차로 우려 복용."
370,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Prunella vulgaris var. lilacina Nakai,"양지바른 들판에 자라는 다년초로 높이 20~30cm이다. 6~7월에 자홍색 꽃이 이삭처럼 모여 피며 여름에 꽃이 진다.","한국(전국), 중국, 일본",하구초(꿀풀),꽃이삭을 여름에 채취하여 햇볕에 말린다.,"청간산결, 소종, 눈충혈, 두통, 고혈압, 림프선종대, 종기","(내복): 달여서 복용한다."
371,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Salvia miltiorrhiza Bunge,"재배하는 다년초로 높이 40~80cm이며 뿌리가 주황색 또는 붉은색을 띤다.","한국(전국), 중국",단삼(단삼),뿌리를 가을과 봄에 채취하여 말린다.,"활혈거어, 통경지통, 심혈관질환, 협심증, 생리통, 어혈제거, 불면증","(내복): 달여서 복용한다."
373,쌍자엽식물,꿀풀과,꿀풀과(Labiatae),Scutellaria baicalensis Georgi,"산지의 건조한 양지에 자라는 다년초로 높이 60cm에 달하며 뿌리의 속이 노란색이다. 꽃은 7~8월에 자색으로 피어난다.","한국(전국), 중국, 러시아",황금(속새속속풀),뿌리를 가을에 채취하여 겉껍질을 벗겨내고 말린다.,"청열조습, 사화해독, 지혈, 안태, 폐열기침, 습열설사, 두통, 고혈압","(내복): 달여서 복용한다."
378,쌍자엽식물,가지과,가지과(Solanaceae),Lycium chinense Mill.,"마을 근처나 들판에 자라는 낙엽관목으로 가지에 가시가 있다. 꽃은 6~9월에 자색으로 피며, 붉은 열매(구기자)가 열린다.","한국(전국), 중국, 대만",구기자나무(구기자),열매(구기자) 및 뿌리껍질(지골피)을 채취하여 말린다.,"자음보신, 보간명목, 지골피(청열퇴허열), 시력회복, 당뇨, 피로회복","(내복): 달이거나 차로 마신다."
396,쌍자엽식물,질경이과,질경이과(Plantaginaceae),Plantago asiatica L.,"길가나 들판에 자라는 다년초로 잎은 뿌리에서 모여난다. 6~8월에 긴 이삭꽃차례로 꽃이 피어 작은 씨앗이 많이 결실한다.","한국(전국), 동아시아",질경이(차전자),씨앗(차전자) 및 전초(차전초)를 채취하여 말린다.,"이뇨통림, 청열명목, 거담지침, 방광염, 부종, 눈충혈, 기침, 변비","(내복): 달이거나 차로 우려 복용."
403,쌍자엽식물,인동과,인동과(Caprifoliaceae),Lonicera japonica Thunb.,"산기슭이나 길가에 자라는 상록 덩굴성 관목이다. 꽃은 6~7월에 흰색으로 피어 노란색으로 변하며(금은화) 향기가 높다.","한국(전국), 중국, 일본",인동덩굴(금은화),꽃봉오리(금은화) 및 잎줄기(인동)를 채취하여 말린다.,"청열해독, 소산풍열, 항균, 소염, 감기발열, 인후통, 종기, 장염","(내복): 달이거나 금은화차로 복용."
423,쌍자엽식물,초롱꽃과,초롱꽃과(Campanulaceae),Codonopsis lanceolata (Siebold & Zucc.) Trautv.,"산기슭에 자라는 덩굴성 다년초로 뿌리가 더덕으로 굵다. 줄기를 자르면 하얀 즙액이 나온다. 꽃은 8~9월에 피어난다.","한국(전국), 중국, 일본",더덕(사삼),뿌리를 가을과 봄에 채취하여 말린다.,"거담지침, 보폐양음, 청열생진, 기침, 만성기관지염, 피로회복, 혈당조절","(내복): 달여 복용하거나 요리로 생식."
425,쌍자엽식물,초롱꽃과,초롱꽃과(Campanulaceae),Platycodon grandiflorum (Jacq.) A.DC.,"산과 들에 자라는 다년초로 높이 40~100cm이며 뿌리가 굵다. 7~8월에 남보라색 종 모양의 꽃이 피어난다.","한국(전국), 중국, 일본",도라지(길경),뿌리를 가을과 봄에 채취하여 말린다.,"선폐거담, 이인배농, 기침, 가래, 인후통, 기관지염, 편도선염, 면역강화","(내복): 달이거나 무침, 도라지청으로 복용."
428,쌍자엽식물,국화과,국화과(Compositae),Artemisia argyi H.Lev. et Vaniot,"양지바른 들판에 자라는 다년초로 높이 1m에 달하며 향기가 매우 강하다. 잎 뒷면에 백색 털이 빼곡하다.","한국(전국), 중국",황해쑥(애엽),잎을 봄과 여름에 채취하여 그늘에서 말린다.,"온경지혈, 산한지통, 월경불순, 복부냉통, 지혈, 생리통 완화","(내복): 달이거나 쑥차, 쑥뜸으로 사용."
429,쌍자엽식물,국화과,국화과(Compositae),Artemisia capillaris Thunb.,"바닷가 모래땅이나 개울가에 자라는 다년초로 줄기 밑부분이 목질화된다. 봄에 올라오는 어린 순을 인진호라 한다.","한국(전국), 중국, 일본",사철쑥(인진호),봄철 어린순을 채취하여 그늘에서 말린다.,"청열이습, 퇴황, 간염, 황달, 지방간, 간기능 개선, 이뇨","(내복): 달이거나 인진쑥차로 복용."
433,쌍자엽식물,국화과,국화과(Compositae),Atractylodes ovata (Thunb.) DC.,"산지에 자라는 다년초로 높이 30~100cm이며 뿌리줄기가 굵다. 잎은 3~5개로 갈라진다.","한국(전국), 중국",삽주(백출),뿌리줄기를 가을에 채취하여 말린다.,"건비익기, 조습이수, 지한, 안태, 소화불량, 위장장애, 부종, 식은땀","(내복): 달여서 복용."
508,단자엽식물,백합과,백합과(Liliaceae),Lilium lancifolium Thunb.,"산지에 자라는 다년초로 높이 1~2m이며 비늘줄기(백합)가 주황색 비늘로 덮여 있다. 7~8월에 주황색 꽃이 밑을 향해 피어난다.","한국(전국), 중국, 일본",참백합(백합),비늘줄기를 가을에 채취하여 말린다.,"윤폐지침, 청심안신, 만성기침, 불면증, 가슴답답, 도한, 기력회복","(내복): 달이거나 백합죽으로 복용."
510,단자엽식물,백합과,백합과(Liliaceae),Liriope platyphylla F.T.Wang & T.Tang,"그늘진 숲속에 자라는 상록 다년초로 잎이 뿌리에서 모여난다. 5~6월에 보라색 이삭꽃이 피고 뿌리에 덩이뿌리가 달린다.","한국(전국), 중국, 일본",맥문동(맥문동),덩이뿌리를 봄과 가을에 채취하여 말린다.,"양음윤폐, 이진생진, 청심서번, 만성기침, 마른기침, 구갈, 당뇨, 이뇨","(내복): 달이거나 맥문동차로 복용."
513,단자엽식물,백합과,백합과(Liliaceae),Polygonatum odoratum var. pluriflorum (Miq.) Ohwi,"산지에 자라는 다년초로 높이 30~60cm이며 줄기가 줄어들며 6개의 각이 있다. 6~7월에 흰색 꽃이 밑으로 늘어진다.","한국(전국), 중국, 일본",둥굴레(옥죽),뿌리줄기를 가을과 봄에 채취하여 찌고 말려 사용한다.,"자음윤조, 생진지갈, 허로발열, 폐질환, 당뇨, 면역력강화, 피로회복","(내복): 달이거나 둥굴레차로 볶아 우려 복용."
518,단자엽식물,백합과,백합과(Liliaceae),Smilax china L.,"산지 숲속에 자라는 낙엽 덩굴성 관목으로 줄기에 가시가 있다. 9~10월에 붉은 구형 열매가 결실한다.","한국(전국), 중국, 일본",청미래덩굴(토복령),뿌리줄기를 가을과 겨울에 채취하여 말린다.,"해독, 제습, 관절통, 매독, 중금속 해독, 종기, 습진, 이뇨","(내복): 달여서 복용."
527,단자엽식물,마과,마과(Dioscoreaceae),Dioscorea polystachya Turcz.,"산지에 자라는 덩굴성 다년초로 육질의 수직 덩이뿌리(마/산약)를 형성한다.","한국(전국), 중국, 일본",마(산약),덩이뿌리를 가을과 겨울에 채취하여 겉껍질을 벗기고 말린다.,"건비익폐, 보신익정, 소화기강화, 당뇨, 설사, 자양강장, 피로회복","(내복): 달이거나 생식, 가루 내어 복용."
534,단자엽식물,난초과,난초과(Orchidaceae),Gastrodia elata Blume,"산지 숲속 그늘에 자라는 부생 다년초로 엽록소가 없다. 6~7월에 붉은 노란색 줄기 끝에 꽃이 달린다.","한국(전국), 중국, 일본",천마(천마),덩이줄기를 가을과 봄에 채취하여 쪄서 말린다.,두통, 어지럼증, 중풍, 뇌혈관질환, 고혈압, 경련완화, 신경통,"(내복): 달이거나 가루, 천마차로 복용."
